Date_1,Description_1,Deposits,Withdrawls,Balance
Aug,Interest,0,36393.59,36393.58
Sep,Debit Card,0,4043.73,32349.85
Oct,Purchase,2.89,0,32352.74
Nov,Bill,63,0,32415.74
Dec,Interest,76769.6,0,109185.34
Jan,Bill,94207.31,0,203392.65
Feb,Transfer,0,203392.65,0
Mar,Commission,39.73,0,39.73
Apr,Tax,89652,0,89691.73
May,Cash,0,44845.87,44845.86
Jun,NEFT,41.91,0,44887.77
Jul,Interest,0,7481.3,37406.48
Aug,ATM,0,5343.78,32062.7
Sep,Miscellaneous,3156.41,0,35219.11
Oct,Cash,6157.03,0,41376.14
Nov,Debit Card,0,6896.02,34480.12
Dec,Transfer,1266.6,0,35746.72
Jan,Purchase,208917.44,0,244664.16
Feb,ATM,23265.4,0,267929.56
Mar,NEFT,0,53585.91,214343.65
Apr,IMPS,0,21434.37,192909.28
May,Miscellaneous,0,27558.47,165350.81
Jun,Interest,0,41337.7,124013.11
Jul,Commission,282.72,0,124295.83
Aug,Tax,2,0,124297.83
Sep,Transfer,0,15537.23,108760.6
Oct,Cheque,13904.77,0,122665.37
Nov,Transfer,0,122665.37,0
Dec,Reversal,149499.8,0,149499.8
Jan,Commission,959996,0,1109495.8
Feb,Cash,0,221899.16,887596.64
Mar,Cash,0,126799.52,760797.12
Apr,Transfer,2.45,0,760799.57
May,Purchase,2,0,760801.57
Jun,Miscellaneous,0,108685.94,652115.63
Jul,Debit Card,0,65211.56,586904.07
Aug,Tax,14868.6,0,601772.67
Sep,Reversal,0,300886.34,300886.34
Oct,Debit Card,3782,0,304668.34
Nov,Bill,31820,0,336488.34
Dec,Purchase,8,0,336496.34
Jan,IMPS,193149.69,0,529646.03
Feb,ATM,0,529646.03,0
Mar,Miscellaneous,3339.42,0,3339.42
Apr,Reversal,0,477.06,2862.36
May,Reversal,240549.06,0,243411.42
Jun,Reversal,0,34773.06,208638.36
Jul,Cash,0,20863.84,187774.52
Aug,Transfer,0,23471.82,164302.7
Sep,Purchase,33.01,0,164335.71
Oct,RTGS,0,54778.57,109557.14
Nov,Transfer,0,13694.64,95862.5
Dec,Reversal,3.8,0,95866.3
Jan,Interest,0,9586.63,86279.67
Feb,Commission,0,9586.63,76693.04
Mar,Transfer,0,25564.35,51128.69
Apr,Cash,0,17042.9,34085.79
May,Commission,4563.2,0,38648.99
Jun,Cash,0,4831.12,33817.87
Jul,NEFT,0,16908.94,16908.94
Aug,NEFT,4,0,16912.94
Sep,Bill,0,1691.29,15221.65
Oct,IMPS,3258.6,0,18480.25
Nov,Miscellaneous,376,0,18856.25
Dec,Cheque,405,0,19261.25
Jan,Reversal,0,1926.13,17335.12
Feb,NEFT,0,2166.89,15168.23
Mar,Commission,0,3792.06,11376.17
Apr,Transfer,301.2,0,11677.37
May,Reversal,0,1297.49,10379.88
Jun,NEFT,12,0,10391.88
Jul,Miscellaneous,0,1484.55,8907.33
Aug,Cash,361,0,9268.33
Sep,Commission,0,1853.67,7414.66
Oct,NEFT,0,1235.78,6178.88
Nov,Transfer,602287,0,608465.88
Dec,Debit Card,6.15,0,608472.03
Jan,NEFT,0,101412.01,507060.02
Feb,RTGS,58,0,507118.02
Mar,Miscellaneous,3,0,507121.02
Apr,ATM,0,63390.13,443730.89
May,Reversal,0,443730.89,0
Jun,Transfer,1058363.2,0,1058363.2
Jul,Cash,2039653,0,3098016.2
Aug,Debit Card,0,774504.05,2323512.15
Sep,Tax,264.3,0,2323776.45
Oct,ATM,0,2323776.45,0
Nov,Debit Card,2418.59,0,2418.59
Dec,RTGS,3368,0,5786.59
Jan,Tax,208446,0,214232.59
Feb,NEFT,243.46,0,214476.05
Mar,Reversal,0,30639.44,183836.61
Apr,Purchase,0,18383.66,165452.95
May,NEFT,0,41363.24,124089.71
Jun,Reversal,416,0,124505.71
Jul,Debit Card,436646,0,561151.71
Aug,Purchase,0,280575.86,280575.86
